,Total PV Energy
644,642.4800510000001
645,630.1676530000001
646,623.607802
647,418.38846500000005
648,410.91651800000005
649,411.586152
650,418.11121099999997
651,612.3892920000001
652,573.559452
653,595.335695
654,611.783839
655,615.009632
656,629.8307100000001
657,581.5673780000001
658,566.632865
659,612.6269970000001
660,616.5036680000001
661,619.380755
662,582.7653290000001
663,611.9318339999999
664,663.0843459999999
665,631.3310959999999
666,601.796352
667,611.1362479999999
668,656.342982
669,607.810699
670,600.0718380000001
671,611.0620480000001
672,607.016885
673,576.781199
674,639.1028870000001
675,642.9802999999999
676,584.005977
677,576.2548189999999
678,664.8967930000001
679,587.385989
680,649.6011369999999
681,608.7857920000001
682,605.5245689999999
683,603.023421
684,579.141643
685,574.9779379999999
686,467.370369
687,468.82933
688,472.377476
689,469.377473
690,463.09201800000005
691,466.692494
692,465.673481
693,512.9127709999999
694,450.58512099999996
695,466.87646499999994
696,493.84673200000003
697,465.18844299999995
698,465.462816
699,471.180192
700,467.361762
701,460.828718
702,514.1593220000001
703,473.65631199999996
704,466.26849799999997
705,467.068483
706,465.44153900000003
707,504.291703
708,465.19902
709,466.834524
710,508.83536499999997
711,513.872936
712,478.09764200000006
713,475.464718
714,465.34601799999996
715,478.187689
716,499.25578799999994
717,517.03683
718,512.940244
719,470.624883
720,498.647661
721,466.582808
722,456.538632
723,495.333099
724,506.6659670000001
725,479.36425199999996
726,465.9763760000001
727,500.899745
728,473.539365
729,511.789831
730,535.425888
731,524.087306
732,436.596796
733,502.90199
734,473.023246
735,616.074501
736,626.175808
737,423.140364
738,553.8736120000001
739,590.192457
740,411.725301
741,573.581954
742,636.550422
743,587.815936
744,534.239828
745,436.028531
746,424.234533
747,415.65071700000004
748,422.707553
749,434.20339399999995
750,411.777032
751,415.156556
752,438.210229
753,427.178119
754,443.219752
755,414.152088
756,428.530027
757,414.506914
758,434.536559
759,439.17882799999995
760,430.63247099999995
761,418.587783
762,413.003618
763,439.879329
764,430.17134999999996
765,414.03132500000004
766,435.963916
767,429.963513
768,563.0454090000001
769,507.01948799999997
770,527.637306
771,580.4045390000001
772,562.709848
773,536.274551
774,536.9883159999999
775,569.447319
776,587.6599790000001
777,508.06726399999997
778,457.74193999999994
779,499.275759
780,571.5743439999999
781,528.1659719999999
782,587.5227140000001
783,542.4581909999999
784,522.5015920000001
785,530.514581
786,583.9882350000001
787,511.11509299999994
788,583.050391
789,610.4679100000001
790,533.4846479999999
791,576.953118
792,609.3399430000001
793,518.980126
794,461.36301899999995
795,440.826112
796,563.387171
797,420.27719199999996
798,588.642314
799,620.149184
800,609.536255
