,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,Pop2025,ElecPopCalib,X_deg,Y_deg
16982,Non,Highlands,3227,53.80805444852008,99.0,99.0,0.5999505,0.40429977,Grid2025,0.40429977,183.97481000000002,0.0,0.0,0.0,10.876489,109213.94,480.64187999999996,88425.99,0.09153994,183.97481000000002,0.0,-66.16974,-17.945457
16992,SA_PV2012,Highlands,3063,64.44175202257523,99.0,99.0,0.5840113,0.384229,Grid2025,0.384229,220.33241,0.0,0.0,0.0,12.537907,122113.89,443.66525,97753.836,0.016970227,234.14975,13.817332999999998,-66.06479,-18.156655999999998
16993,SA_PV2012,Highlands,3024,52.80065606997939,99.0,99.0,0.631142,0.41892436,Grid2025,0.41892436,180.53041000000002,0.0,0.0,0.0,10.718743,111272.03,501.53795999999994,90542.85,0.017760571,204.88103,24.350616,-66.00258000000001,-18.23753
17020,MG_Hydro2012,SHS,4148,39.29247840075313,0.35,99.0,99.0,0.31365317,Grid2025,0.31365317,134.34468,0.0,0.0,0.0,6.251281,53875.914000000004,303.9733,40837.195,2.5850467999999998,589.5556,455.21094000000005,-67.34038000000001,-22.192694
17070,SA_PV2012,Lowlands,374,88.74791617900938,99.0,0.6165314000000001,99.0,0.41358176,Grid2025,0.41358176,303.43747,0.0,0.0,0.0,13.162998000000002,146493.02,385.79135,117063.555,0.07650082,376.3121,72.87462,-62.528225,-19.175894
17071,SA_Diesel2012,Lowlands,344,158.6914845374105,99.0,0.5822898,99.0,0.45443755,Grid2025,0.45443755,609.6669999999999,0.0,0.0,0.0,21.645409,277520.8,365.53082,222852.08,3.4917667000000003,1128.2155,518.54846,-62.93298299999999,-17.949413
17110,SA_Diesel2012,Lowlands,270,74.657668375196,99.0,0.68996674,99.0,0.46513787,Grid2025,0.46513787,255.2616,0.0,0.0,0.0,11.509845,140721.12,449.41162,114717.53,0.07871425,380.49335,125.23173999999999,-62.485769999999995,-17.375519
17116,MG_Diesel2012,Lowlands,433,63.87816785197819,99.0,0.6588508000000001,99.0,0.40234435,Grid2025,0.40234435,218.40547,0.0,0.0,0.0,10.214871,105819.63,389.08466,84978.22,0.014843442,367.94962000000004,149.54413,-61.0013,-16.623673999999998
17119,MG_Diesel2012,Highlands,1584,104.1069663209144,99.0,99.0,0.43130937,0.24055889,Grid2025,0.24055889,355.9515,0.0,0.0,0.0,18.793694,119241.34,241.59256000000002,85995.234,0.33500344,1860.6542,1504.7028,-64.43065,-18.04128
17120,MG_Diesel2012,Lowlands,246,64.03153341843426,99.0,0.5987554,99.0,0.34504348,Grid2025,0.34504348,218.92983999999998,0.0,0.0,0.0,10.23362,90943.12,325.84216000000004,71336.57,0.01573084,535.1994,316.2696,-62.507042000000006,-16.806166
17128,SA_Diesel2012,Lowlands,254,72.4134119945534,99.0,0.6831554,99.0,0.63327706,Grid2025,0.63327706,247.58827000000002,0.0,0.0,0.0,11.243468,186377.62,633.9246,156952.3,5.1460714,355.40585,107.8176,-63.801784999999995,-17.073133
17147,MG_Diesel2012,SHS,306,34.80715581199668,0.35,99.0,99.0,0.32436147,Grid2025,0.32436147,119.00894,0.0,0.0,0.0,5.5376835,49355.246,316.4999,37666.316,0.018590403999999998,518.4744,399.46547999999996,-61.513435,-15.573630999999999
17156,MG_Diesel2012,SHS,1522,33.62578170875407,0.35,99.0,99.0,0.347599,Grid2025,0.347599,114.96971,0.0,0.0,0.0,5.3497314000000005,51095.95,343.6833,39513.168,0.056220174000000005,413.9433,298.9736,-63.809048,-18.30489
17159,MG_Diesel2012,Lowlands,456,82.74460974658504,99.0,0.7405495,99.0,0.49144295,Grid2025,0.49144295,282.9116,0.0,0.0,0.0,12.461102,163253.12,472.41805999999997,133652.55,0.11772696,317.77466,34.86305,-61.04676,-16.71438
17161,MG_Diesel2012,Lowlands,448,51.998746599910916,99.0,0.764746,99.0,0.492579,Grid2025,0.492579,177.7886,0.0,0.0,0.0,8.723264,108094.23,502.64865,89365.2,0.020334655,229.9685,52.179893,-61.048680000000004,-16.551132
17191,MG_Diesel2012,Lowlands,463,64.51436919670213,99.0,0.6881564,99.0,0.43590584,Grid2025,0.43590584,220.5807,0.0,0.0,0.0,10.292571,115663.516,425.50165,93857.445,0.022836065,317.77466,97.193954,-64.32795,-22.716486
17234,MG_Diesel2012,,135,1819.8160707646584,99.0,99.0,99.0,0.16076022,Grid2025,0.16076022,6991.4385,0.0,0.0,0.0,815.2165,3601036.8,313.53012,2192026.8,0.1141971,36231.31,29239.871,-65.35513,-10.826652000000001
17235,MG_Diesel2012,,147,592.6788130799391,99.0,99.0,99.0,0.15438327,Grid2025,0.15438327,2276.976,0.0,0.0,0.0,232.40962000000002,985894.3,258.08994,587664.6,0.13103251,11039.083999999999,8762.107,-65.42838,-13.748170000000002
17237,MG_Diesel2012,,150,4442.00061254201,99.0,99.0,99.0,0.14848128,Grid2025,0.14848128,17065.447,0.0,0.0,0.0,1572.507,6415644.5,219.32481,3742876.0,0.002196098,78617.36,61551.91,-66.05256,-11.010131
17256,MG_PV2012,,220,3226.495369389975,99.0,99.0,99.0,0.14379804,Grid2025,0.14379804,12395.673,0.0,0.0,0.0,1550.9707,6128195.0,283.08344,3509009.5,0.07247124,54002.996,41607.324,-68.76329,-11.025763000000001
17263,MG_Diesel2012,,416,1175.9521000669426,99.0,99.0,99.0,0.15533932,Grid2025,0.15533932,4517.8174,0.0,0.0,0.0,377.9842,1613359.0,213.56445,964845.25,0.03623562,22353.342,17835.525,-60.963393999999994,-16.377922
17264,MG_Diesel2012,,296,601.401084187219,99.0,99.0,99.0,0.15280634,Grid2025,0.15280634,2310.4856,0.0,0.0,0.0,254.00387999999998,1066492.2,273.62102999999996,632197.44,0.030745372000000003,12291.128,9980.643,-60.739346,-17.848635
