,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,X_deg,Y_deg
297,Non,SHS,3705,30.572758228663183,0.35,99.0,99.0,99.0,SHS2025,0.35,104.531136,12.229103,0.0,33.630035,45.859140000000004,48641.258,378.17035,39530.58,0.0,-66.95824,-19.223015
298,SA_PV2012,SHS,3953,14.880412841266999,0.35,99.0,99.0,99.0,SHS2025,0.35,50.877533,5.952165,0.0,16.368454,22.32062,23674.736,378.17035,19240.373,0.0,-67.170425,-19.4287
300,SA_PV2012,SHS,3986,11.828148547656784,0.35,99.0,99.0,99.0,SHS2025,0.35,40.44155,4.7312593000000005,0.0,13.010963,17.742224,18818.584,378.17035,15293.796,0.0,-68.21706999999999,-17.776532999999997
303,SA_PV2012,SHS,3720,1.4294156311197752,0.35,99.0,99.0,99.0,SHS2025,0.35,4.8873067,0.57176626,0.0,1.5723572000000001,2.1441236,2274.2002,378.17035,1848.2344,0.0,-67.47285500000001,-18.8508
304,SA_PV2012,SHS,4487,0.6195159073821203,0.35,99.0,99.0,99.0,SHS2025,0.35,2.1181831,0.24780637,0.0,0.6814675,0.92927384,985.6498,378.17035,801.03406,0.0,-66.829865,-18.082954
305,SA_PV2012,SHS,3870,1.4294156311197752,0.35,99.0,99.0,99.0,SHS2025,0.35,4.8873067,0.57176626,0.0,1.5723572000000001,2.1441236,2274.2002,378.17035,1848.2344,0.0,-68.65992,-19.015823
306,Non,SHS,3757,3.668730986854632,0.35,99.0,99.0,99.0,SHS2025,0.35,12.543736,1.4674923,0.0,4.035604,5.503096599999999,5836.951,378.17035,4743.669,0.0,-67.56251999999999,-18.979906
307,SA_PV2012,SHS,4042,12.261346259190994,0.35,99.0,99.0,99.0,SHS2025,0.35,41.922695000000004,4.9045385999999995,0.0,13.487480999999999,18.392020000000002,19507.803,378.17035,15853.921,0.0,-66.74602,-17.830044
308,Non,SHS,3736,3.668730986854632,0.35,99.0,99.0,99.0,SHS2025,0.35,12.543736,1.4674923,0.0,4.035604,5.503096599999999,5836.951,378.17035,4743.669,0.0,-67.53012,-18.62257
310,Non,SHS,3984,3.668730986854632,0.35,99.0,99.0,99.0,SHS2025,0.35,12.543736,1.4674923,0.0,4.035604,5.503096599999999,5836.951,378.17035,4743.669,0.0,-66.18981,-18.985695
311,Non,SHS,124,18.343654928423657,0.35,99.0,99.0,99.0,SHS2025,0.35,62.718680000000006,7.3374619999999995,0.0,20.17802,27.515482000000002,29184.756,378.17035,23718.346,0.0,-66.68148000000001,-10.25132
312,Non,SHS,158,6.114551642807884,0.35,99.0,99.0,99.0,SHS2025,0.35,20.906226999999998,2.4458206000000002,0.0,6.726007000000001,9.171827,9728.252,378.17035,7906.115,0.0,-67.42824,-11.492028
314,SA_PV2012,SHS,3389,16.110438004473902,0.35,99.0,99.0,99.0,SHS2025,0.35,55.083103,6.4441752,0.0,17.721481,24.165657,25631.707000000002,378.17035,20830.797,0.0,-65.6008,-19.104336
