,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,Pop2025,ElecPopCalib,X_deg,Y_deg
144,SA_PV2012,SHS,202,7.960027095229084,0.36,99.0,99.0,99.0,SHS2025,0.36,27.216082,3.6616125,0.0,9.552032,13.213645000000001,12998.725,387.82202,10554.996000000001,0.0,37.631209999999996,10.415128,-67.15284,-12.011422999999999
149,Non,SHS,3145,8.56037229876114,0.36,99.0,99.0,99.0,SHS2025,0.36,29.268719,3.9377712999999996,0.0,10.272447,14.210218,13979.088,387.82202,11351.053999999998,0.0,29.268719,0.0,-65.59781,-19.138014000000002
153,SA_PV2012,SHS,3535,5.098146616512031,0.36,99.0,99.0,99.0,SHS2025,0.36,17.431044,2.3451473999999997,0.0,6.117776,8.462923,8325.273000000001,387.82202,6760.1426,0.0,20.906226999999998,3.4751844,-65.59886999999999,-19.090605
157,SA_PV2012,SHS,3303,16.110438004473902,0.36,99.0,99.0,99.0,SHS2025,0.36,55.083103,7.410801400000001,0.0,19.332525,26.743326,26308.346,387.82202,21362.441000000003,0.0,58.537437,3.4543333,-65.92582,-18.215864
158,Non,SHS,2746,13.452013613592394,0.36,99.0,99.0,99.0,SHS2025,0.36,45.993702,6.1879263,0.0,16.142416,22.330343,21967.139,387.82202,17837.37,0.0,45.993702,0.0,-65.73988,-18.464733
159,SA_PV2012,SHS,4075,9.990804336543317,0.36,99.0,99.0,99.0,SHS2025,0.36,34.1595,4.59577,0.0,11.988964999999999,16.584736,16314.983,387.82202,13247.806999999999,0.0,37.631209999999996,3.4717093,-65.80084000000001,-18.86702
162,Non,SHS,2998,7.337461970784513,0.36,99.0,99.0,99.0,SHS2025,0.36,25.087473000000003,3.3752324999999996,0.0,8.804955,12.180187,11982.075,387.82202,9729.475,0.0,25.087473000000003,0.0,-66.05566999999999,-18.288624
168,SA_PV2012,SHS,3804,15.920054190458169,0.36,99.0,99.0,99.0,SHS2025,0.36,54.432163,7.323225,0.0,19.104065,26.427290000000003,25997.45,387.82202,21109.992000000002,0.0,75.26241999999999,20.830256,-66.00511999999999,-20.805376000000003
172,Non,SHS,3607,22.012385915278287,0.36,99.0,99.0,99.0,SHS2025,0.36,75.26241999999999,10.125697,0.0,26.414864,36.54056,35946.227,387.82202,29188.424,0.0,75.26241999999999,0.0,-66.38847,-18.194834
178,Non,SHS,3023,1.2229103285615772,0.36,99.0,99.0,99.0,SHS2025,0.36,4.1812453000000005,0.56253874,0.0,1.4674923,2.0300312,1997.0126,387.82202,1621.5791,0.0,4.1812453000000005,0.0,-65.79002,-21.624565
179,Non,SHS,3911,17.12074460044703,0.36,99.0,99.0,99.0,SHS2025,0.36,58.537437,7.875542599999999,0.0,20.544893,28.420437,27958.176,387.82202,22702.107000000004,0.0,58.537437,0.0,-66.52741,-18.175608
180,Non,SHS,3819,14.674923941569025,0.36,99.0,99.0,99.0,SHS2025,0.36,50.174946000000006,6.750464999999999,0.0,17.60991,24.360374,23964.15,387.82202,19458.95,0.0,50.174946000000006,0.0,-65.91014,-19.081352
181,Non,SHS,3856,6.114551642807884,0.36,99.0,99.0,99.0,SHS2025,0.36,20.906226999999998,2.8126938,0.0,7.3374619999999995,10.150155999999999,9985.0625,387.82202,8107.8955,0.0,20.906226999999998,0.0,-66.87624,-19.766185999999998
183,SA_PV2012,SHS,4286,8.766877603659138,0.36,99.0,99.0,99.0,SHS2025,0.36,29.97478,4.032763500000001,0.0,10.520253,14.553017,14316.312,387.82202,11624.88,0.0,33.449963000000004,3.4751844,-66.676186,-19.516644
188,Non,SHS,3343,2.4458206571231544,0.36,99.0,99.0,99.0,SHS2025,0.36,8.362491,1.1250775,0.0,2.9349847000000002,4.0600624,3994.0251,387.82202,3243.1582,0.0,8.362491,0.0,-66.125046,-20.073353
190,MG_Diesel2012,SHS,1715,20.79949864288912,0.36,99.0,99.0,99.0,SHS2025,0.36,71.11544,9.567769,0.0,24.959398,34.52717,33965.582,387.82202,27580.135,0.0,91.987404,20.871958,-63.853226,-18.193232000000002
