,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SA_PV_2025,LCOE_MG_PV_2025,LCOE_MG_Diesel_2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,X_deg,Y_deg
7221,SA_Diesel2012,Lowlands,176,66.30263933813966,99.0,0.7114599,0.6869871999999999,99.0,MG_Diesel_2025,0.6869871999999999,226.69496,11.56193,186790.61,503.42682,114124.32,0.0,-59.698055000000004,-16.627247
7222,SA_PV2012,SHS,245,41.77021040676548,0.47591257,99.0,99.0,99.0,SA_PV_2025,0.47591257,142.81628,13.908982,86901.92,583.98114,83402.016,0.0,-62.811569999999996,-16.911709
7223,SA_Diesel2012,SHS,222,39.74248237988143,0.48558402,99.0,99.0,99.0,SA_PV_2025,0.48558402,135.88329,13.502707999999998,84363.56,595.84875,80965.89,0.0,-63.894980000000004,-16.591084
7224,Non,SHS,206,15.897834272470405,0.49022147,99.0,99.0,99.0,SA_PV_2025,0.49022147,54.356190000000005,5.452954,34069.508,601.53925,32697.382999999998,0.0,-63.728947,-15.989395000000002
7225,SA_PV2012,SHS,226,16.110438004473902,0.48618263,99.0,99.0,99.0,SA_PV_2025,0.48618263,55.083103,5.48035,34240.676,596.5833,32861.66,0.0,-63.92811,-16.674227
7226,Non,SHS,230,47.69350280863695,0.49505198,99.0,99.0,99.0,SA_PV_2025,0.49505198,163.06857,16.520058,103215.66,607.4667,99058.72,0.0,-64.25345,-16.685064
7227,SA_Diesel2012,SHS,225,37.30377653546797,0.49515590000000004,99.0,99.0,99.0,SA_PV_2025,0.49515590000000004,127.54512,12.92398,80747.73,607.5942,77495.67,0.0,-64.24854,-16.641514
7228,SA_PV2012,SHS,561,19.398260367176746,0.5346214,99.0,99.0,99.0,SA_PV_2025,0.5346214,66.32448000000001,6.364888,45336.155999999995,656.0214,43510.277,0.0,-63.43156,-18.040495
7229,MG_Diesel2012,SHS,373,5.549498626988761,0.7208663000000001,99.0,99.0,0.6202274999999999,Grid2025,0.6202274999999999,18.974258,0.8838716999999999,15046.668,662.6932,12574.111,0.06257771,-61.861748,-16.672201
7230,SA_Diesel2012,SHS,294,1.2390318147642403,0.74268126,99.0,99.0,99.0,SA_PV_2025,0.74268126,4.2363663,0.4261531,4022.7259999999997,911.3267,3860.7139,0.0,-61.385,-15.560006
7231,Non,SHS,137,13.452013613592394,0.46492377,99.0,99.0,99.0,SA_PV_2025,0.46492377,45.993702,4.375932,27340.382999999998,570.4971,26239.27,0.0,-58.54235,-18.730432999999998
7232,Non,SHS,1339,6.114551642807884,0.46397427,99.0,99.0,99.0,SA_PV_2025,0.46397427,20.906226999999998,1.9849976999999999,12402.066,569.3319,11902.583,0.0,-63.991566000000006,-18.11035
7233,MG_Diesel2012,Highlands,2583,65.66209039441378,99.0,0.47857746,0.46476454,0.29950556,Grid2025,0.29950556,224.50487,11.778477,96826.47,323.8126,72697.5,0.029525936000000003,-64.611465,-17.868542
7234,SA_PV2012,SHS,243,34.46222417274292,0.47725818,99.0,99.0,99.0,SA_PV_2025,0.47725818,117.82959,11.5079565,71900.555,585.6323,69004.81,0.0,-62.950737,-16.705217
7235,MG_Diesel2012,SHS,1565,27.24574383791054,0.5204810000000001,99.0,99.0,0.41631544,Grid2025,0.41631544,93.15576,4.339444599999999,49585.734000000004,424.1559,39512.566,0.04209012,-64.17084,-18.237673
7236,SA_Diesel2012,Lowlands,232,50.96026265964444,99.0,0.61597764,0.5926136,0.5228170999999999,Grid2025,0.5228170999999999,174.23793,7.8564039999999995,112738.87,531.1594,92548.125,1.0584514999999999,-62.863080000000004,-16.412755999999998
7238,MG_Diesel2012,SHS,500,17.808671073517413,0.54795814,99.0,99.0,0.45832637,Grid2025,0.45832637,60.889523,2.8363970000000003,35681.402,473.30048,28819.041,0.061657373,-62.120487,-16.161832999999998
7240,MG_Diesel2012,SHS,255,32.08656489274047,0.5389593,99.0,99.0,0.41135174,Grid2025,0.41135174,109.706985,5.1104449999999995,57699.508,418.34937,45895.848,0.033112295,-62.61261700000001,-17.032938
7241,SA_PV2012,SHS,1504,12.651120544336825,0.5202585,99.0,99.0,99.0,SA_PV_2025,0.5202585,43.25537,4.0395203,28772.904,638.3969999999999,27614.097999999998,0.0,-64.05643,-18.295147
7242,SA_Diesel2012,SHS,372,24.522692524231502,0.5204348,99.0,99.0,99.0,SA_PV_2025,0.5204348,83.84539000000001,7.8327837,55791.758,638.61334,53544.79,0.0,-62.487143999999994,-19.155138
7243,SA_Diesel2012,SHS,315,0.4130106051163969,0.7191449000000001,99.0,99.0,99.0,SA_PV_2025,0.7191449000000001,1.4121221000000002,0.13754928,1298.414,882.4458599999999,1246.1213,0.0,-61.615993,-16.957514
7244,SA_Diesel2012,SHS,294,27.32516907711863,0.47037882,99.0,99.0,99.0,SA_PV_2025,0.47037882,93.42732,8.993155999999999,56188.335999999996,577.1908599999999,53925.395,0.0,-62.726240000000004,-17.688264999999998
7246,MG_Diesel2012,SHS,842,15.592733042062743,0.66500974,99.0,99.0,0.4583438,Grid2025,0.4583438,53.313023,2.483463,31242.742000000002,473.3209,25234.166,0.0033708940999999997,-63.525344999999994,-19.96259
7247,Non,SHS,189,41.57895116875382,0.47095603,99.0,99.0,99.0,SA_PV_2025,0.47095603,142.16234,13.701099,85603.09,577.8991,82155.49,0.0,-57.843123999999996,-19.058739000000003
7248,SA_PV2012,SHS,237,24.523567937405844,0.5440593,99.0,99.0,99.0,SA_PV_2025,0.5440593,83.84839000000001,8.188635000000001,58326.434,667.60236,55977.38,0.0,-62.82261999999999,-16.673323
7249,MG_Diesel2012,Highlands,1671,67.72408954965401,99.0,0.4573638,0.44496796,0.27949232,Grid2025,0.27949232,231.55504,12.11536,92940.766,296.6371,68687.81,0.014891885,-64.428955,-17.949543
7250,SA_PV2012,SHS,1580,13.662584535780802,0.44875887,99.0,99.0,99.0,SA_PV_2025,0.44875887,46.71366,4.2899027,26802.88,550.6615,25723.414,0.0,-63.97048,-18.67478
7252,SA_Diesel2012,SHS,255,49.954021684178954,0.485285,99.0,99.0,0.47134942,Grid2025,0.47134942,170.7975,7.956204400000001,102931.664,488.5349,83440.55,0.027403276,-63.942753,-17.023355
7253,SA_Diesel2012,Lowlands,216,163.24670930607002,99.0,0.52755225,0.5262001000000001,0.35565695,Grid2025,0.35565695,558.1559,22.85814,223137.36,310.51202,173314.11,0.005590355,-63.207330000000006,-16.365566
7254,MG_Diesel2012,Highlands,1568,64.09689479630751,99.0,0.47341123,0.45622548,0.29126078,Grid2025,0.29126078,219.15332,11.522758999999999,92116.74,313.6318,68733.45,0.032434713,-64.2471,-17.866613
7255,SA_PV2012,SHS,815,39.96321733564415,0.4430527,99.0,99.0,99.0,SA_PV_2025,0.4430527,136.638,12.388461999999999,77401.86,543.6596,74284.56,0.0,-63.27724,-20.336560000000002
7256,SA_Diesel2012,SHS,228,31.19924794824754,0.48769129999999994,99.0,99.0,99.0,SA_PV_2025,0.48769129999999994,106.67316399999999,10.646103,66515.78,598.4346,63836.91,0.0,-63.969303000000004,-16.563067999999998
7257,SA_Diesel2012,Highlands,1065,91.5399466914578,99.0,0.4894251,0.49962544,0.34887168,Grid2025,0.34887168,312.9837,16.006323000000002,153270.08,379.04572,118635.125,0.032007184,-63.42514,-19.7861
7258,MG_Diesel2012,SHS,1028,23.485083985440372,0.5018155,99.0,99.0,99.0,SA_PV_2025,0.5018155,80.297714,7.2329893,51519.508,615.766,49444.6,0.0,-63.506519999999995,-20.382507
