,Total GHI Energy
1008,1798.649
1009,2360.548
1010,2357.335
1011,2370.752
1012,2475.145
1013,2513.001
1014,2360.323
1015,2489.957
1016,2400.349
1017,2652.723
1018,2454.266
1019,2436.596
1020,2486.284
1021,2477.182
1022,2482.61
1023,2459.618
1024,2406.899
1025,2413.72
1026,2413.846
1027,2430.917
1028,2435.615
1029,2439.312
1030,2473.351
1031,2482.467
1032,2447.3
1033,2394.246
1034,2564.215
1035,2368.213
1036,2560.145
1037,2222.823
1038,2452.925
1039,2322.917
1040,2405.33
1041,2392.534
1042,2028.286
1043,2071.535
1044,1964.384
1045,2052.551
1046,2054.185
1047,1997.244
1048,2001.362
1049,1999.497
1050,1993.264
1051,2051.964
1052,1993.243
1053,2141.237
1054,1994.816
1055,2026.799
1056,1992.429
1057,2142.725
1058,1978.594
1059,2062.795
1060,1977.234
1061,1992.975
1062,1993.959
1063,2029.498
1064,2158.916
1065,2029.86
1066,1972.213
1067,2082.869
1068,2142.244
1069,2039.442
1070,2071.725
1071,2051.635
1072,2176.952
1073,2485.275
1074,2559.416
1075,1792.912
1076,2470.183
1077,1861.868
1078,2455.652
1079,1825.278
1080,2061.248
1081,2474.699
1082,2262.929
1083,2212.729
1084,1773.068
1085,1791.54
1086,1871.894
1087,1845.663
1088,1864.704
1089,1780.67
1090,1824.527
1091,1765.192
1092,1846.473
1093,1876.423
1094,1824.848
1095,1777.614
1096,1789.083
1097,1781.072
1098,1782.337
1099,2005.248
1100,1942.859
1101,2232.927
1102,2257.696
1103,2088.67
1104,1918.424
1105,2245.3
1106,2255.37
1107,2326.777
1108,1911.35
1109,2265.861
1110,2059.696
1111,2066.622
1112,2342.074
1113,2282.936
1114,2228.046
1115,2354.967
1116,2250.573
1117,2191.048
1118,2313.591
1119,2201.646
1120,1852.429
1121,2125.653
1122,2388.404
1123,1846.408
1124,2211.265
1125,1861.322
1126,2265.301
1127,2504.125
1128,1870.299
1129,2485.69
1130,2411.226
1131,2325.882
1132,2463.964
1133,2192.363
1134,2147.207
1135,2398.374
1136,1875.131
1137,2131.051
1138,1776.194
1139,1765.465
1140,2310.61
1141,2140.434
1142,2466.369
1143,2569.359
1144,2546.557
