,Base_To_Peak_Ratio
1411,1e-06
1412,1e-06
1413,0.55
1414,1e-06
1415,1e-06
1416,1e-06
1417,0.5
1418,1e-06
1419,1e-06
1420,1e-06
1421,1e-06
1422,1e-06
1423,1e-06
1424,1e-06
1425,1e-06
1426,1e-06
1427,1e-06
1428,1e-06
1429,1e-06
1430,1e-06
1431,1e-06
1432,1e-06
1433,1e-06
1434,1e-06
1435,0.49
1436,1e-06
1437,1e-06
1438,1e-06
1439,1e-06
1440,0.48
1441,1e-06
1442,1e-06
1443,1e-06
1444,1e-06
1445,1e-06
1446,1e-06
1447,1e-06
1448,0.51
1449,1e-06
1450,1e-06
1451,1e-06
1452,1e-06
1453,1e-06
1454,1e-06
1455,1e-06
1456,1e-06
1457,1e-06
1458,1e-06
1459,1e-06
1460,1e-06
1461,1e-06
1462,1e-06
1463,1e-06
1464,1e-06
1465,1e-06
1466,1e-06
1467,1e-06
1468,1e-06
1469,1e-06
1470,1e-06
1471,1e-06
1472,1e-06
1473,1e-06
1474,1e-06
1475,1e-06
1476,1e-06
1477,1e-06
1478,1e-06
1479,1e-06
1480,1e-06
1481,1e-06
1482,1e-06
1483,1e-06
1484,1e-06
1485,1e-06
1486,1e-06
1487,1e-06
1488,1e-06
1489,1e-06
1490,1e-06
1491,1e-06
1492,1e-06
1493,1e-06
1494,1e-06
1495,1e-06
1496,1e-06
1497,1e-06
1498,1e-06
1499,1e-06
1500,1e-06
1501,1e-06
1502,1e-06
1503,1e-06
1504,1e-06
1505,1e-06
1506,1e-06
1507,1e-06
1508,1e-06
1509,1e-06
1510,1e-06
1511,1e-06
1512,1e-06
1513,1e-06
1514,1e-06
1515,1e-06
1516,1e-06
1517,1e-06
1518,1e-06
1519,1e-06
1520,1e-06
1521,1e-06
1522,1e-06
1523,1e-06
1524,1e-06
1525,1e-06
1526,1e-06
1527,1e-06
1528,1e-06
1529,1e-06
1530,1e-06
1531,1e-06
1532,1e-06
1533,1e-06
1534,1e-06
1535,1e-06
1536,1e-06
1537,1e-06
1538,1e-06
1539,1e-06
1540,1e-06
1541,1e-06
1542,1e-06
1543,1e-06
1544,1e-06
1545,1e-06
1546,1e-06
1547,1e-06
1548,1e-06
1549,1e-06
1550,1e-06
1551,0.49
1552,1e-06
1553,1e-06
1554,1e-06
1555,1e-06
1556,1e-06
1557,1e-06
1558,1e-06
1559,1e-06
1560,1e-06
1561,1e-06
1562,1e-06
1563,1e-06
1564,1e-06
1565,1e-06
1566,1e-06
1567,1e-06
1568,1e-06
1569,1e-06
1570,1e-06
1571,1e-06
1572,1e-06
1573,1e-06
1574,1e-06
1575,1e-06
1576,1e-06
1577,1e-06
1578,1e-06
1579,1e-06
1580,1e-06
1581,1e-06
1582,1e-06
1583,1e-06
1584,1e-06
1585,0.5
1586,1e-06
1587,1e-06
1588,1e-06
1589,1e-06
1590,1e-06
1591,0.54
1592,1e-06
1593,1e-06
1594,1e-06
1595,1e-06
1596,1e-06
1597,1e-06
1598,1e-06
1599,0.52
1600,1e-06
1601,1e-06
1602,1e-06
1603,1e-06
1604,1e-06
1605,1e-06
1606,1e-06
1607,1e-06
1608,1e-06
1609,1e-06
1610,1e-06
1611,1e-06
1612,1e-06
1613,1e-06
1614,1e-06
1615,1e-06
1616,1e-06
1617,1e-06
1618,1e-06
1619,0.49
1620,1e-06
1621,1e-06
1622,1e-06
1623,1e-06
1624,1e-06
1625,1e-06
1626,1e-06
1627,1e-06
1628,1e-06
1629,1e-06
1630,1e-06
1631,1e-06
1632,1e-06
1633,1e-06
1634,1e-06
1635,1e-06
1636,1e-06
1637,1e-06
1638,1e-06
1639,1e-06
1640,1e-06
1641,1e-06
1642,1e-06
1643,1e-06
1644,1e-06
1645,1e-06
1646,1e-06
1647,1e-06
1648,1e-06
1649,0.48
1650,1e-06
1651,1e-06
1652,1e-06
1653,1e-06
1654,1e-06
1655,1e-06
1656,0.5
1657,1e-06
1658,1e-06
1659,1e-06
1660,1e-06
1661,1e-06
1662,1e-06
1663,1e-06
1664,1e-06
1665,1e-06
1666,1e-06
1667,1e-06
1668,1e-06
1669,1e-06
1670,1e-06
1671,1e-06
1672,1e-06
1673,1e-06
1674,1e-06
1675,1e-06
1676,1e-06
1677,1e-06
1678,1e-06
1679,1e-06
1680,1e-06
1681,1e-06
1682,1e-06
1683,1e-06
1684,1e-06
1685,1e-06
1686,1e-06
1687,1e-06
1688,1e-06
1689,1e-06
1690,1e-06
1691,1e-06
1692,1e-06
1693,1e-06
1694,1e-06
1695,1e-06
1696,1e-06
1697,1e-06
1698,1e-06
1699,1e-06
1700,1e-06
1701,1e-06
1702,1e-06
1703,1e-06
1704,1e-06
1705,1e-06
1706,1e-06
1707,1e-06
1708,1e-06
1709,1e-06
1710,1e-06
1711,1e-06
1712,1e-06
1713,1e-06
1714,1e-06
1715,1e-06
1716,1e-06
1717,1e-06
1718,1e-06
1719,1e-06
1720,1e-06
1721,1e-06
1722,0.49
1723,1e-06
1724,1e-06
1725,1e-06
1726,1e-06
1727,1e-06
1728,1e-06
1729,1e-06
1730,1e-06
1731,1e-06
1732,1e-06
1733,1e-06
1734,1e-06
1735,1e-06
1736,1e-06
1737,1e-06
1738,1e-06
1739,1e-06
1740,1e-06
1741,1e-06
1742,1e-06
1743,1e-06
1744,1e-06
1745,1e-06
1746,1e-06
1747,1e-06
1748,1e-06
1749,1e-06
1750,1e-06
1751,1e-06
1752,1e-06
1753,1e-06
1754,1e-06
1755,1e-06
1756,1e-06
1757,1e-06
1758,1e-06
1759,1e-06
1760,0.49
1761,1e-06
1762,1e-06
1763,1e-06
1764,1e-06
1765,1e-06
1766,1e-06
1767,1e-06
1768,1e-06
1769,1e-06
1770,1e-06
1771,1e-06
1772,1e-06
1773,1e-06
1774,1e-06
1775,1e-06
1776,1e-06
1777,1e-06
1778,1e-06
1779,1e-06
1780,1e-06
1781,0.53
1782,1e-06
1783,1e-06
1784,1e-06
1785,1e-06
1786,1e-06
1787,1e-06
1788,1e-06
1789,1e-06
1790,1e-06
1791,1e-06
1792,1e-06
1793,1e-06
1794,1e-06
1795,1e-06
1796,1e-06
1797,1e-06
1798,1e-06
1799,1e-06
1800,1e-06
1801,1e-06
1802,1e-06
1803,1e-06
1804,1e-06
1805,1e-06
1806,1e-06
1807,1e-06
1808,1e-06
1809,1e-06
1810,1e-06
1811,1e-06
1812,1e-06
1813,1e-06
1814,1e-06
1815,1e-06
1816,1e-06
1817,1e-06
1818,1e-06
1819,1e-06
1820,1e-06
1821,1e-06
1822,1e-06
1823,1e-06
1824,1e-06
1825,1e-06
1826,1e-06
1827,1e-06
1828,1e-06
1829,1e-06
1830,1e-06
1831,1e-06
1832,1e-06
1833,1e-06
1834,1e-06
1835,1e-06
1836,1e-06
1837,1e-06
1838,1e-06
1839,1e-06
1840,1e-06
1841,1e-06
1842,1e-06
1843,1e-06
1844,1e-06
1845,1e-06
1846,1e-06
1847,1e-06
1848,1e-06
1849,1e-06
1850,1e-06
1851,1e-06
1852,1e-06
1853,1e-06
1854,1e-06
1855,1e-06
1856,1e-06
1857,1e-06
1858,1e-06
1859,1e-06
1860,1e-06
1861,1e-06
1862,1e-06
1863,1e-06
1864,1e-06
1865,1e-06
1866,1e-06
1867,1e-06
1868,1e-06
