,Renewable Invesment Cost,Battery Unitary Invesment Cost,Deep of Discharge,Battery Cycles,GenSet Unitary Invesment Cost,Generator Efficiency,Low Heating Value,Fuel Cost,HouseHolds,Renewable Energy Unit Total
186,1500,550,0.2,5500,1480,0.314,9.89,0.637744,12.4435988342388,591.2656222430694
187,1500,550,0.2,5500,1480,0.314,9.89,0.61348,18.21789804656465,635.8810525079298
188,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,2.445820657123154,639.7986423101981
189,1500,550,0.2,5500,1480,0.314,9.89,0.6431359999999999,24.5226925242315,623.3352474955576
190,1500,550,0.2,5500,1480,0.314,9.89,0.602696,20.79949864288912,494.39606523192003
191,1500,550,0.2,5500,1480,0.314,9.89,0.61348,30.572758228663183,446.8182961671333
192,1500,550,0.2,5500,1480,0.314,9.89,0.635048,5.114268102129744,479.2830095042276
193,1500,550,0.2,5500,1480,0.314,9.89,0.61348,5.323822619703072,462.98263067771217
194,1500,550,0.2,5500,1480,0.314,9.89,0.602696,120.1220942334195,575.9708456484418
195,1500,550,0.2,5500,1480,0.314,9.89,0.664704,10.217496744934383,463.72162664812447
196,1500,550,0.2,5500,1480,0.314,9.89,0.65392,66.47543748483159,460.51608615779367
197,1500,550,0.2,5500,1480,0.314,9.89,0.608088,13.698752144564905,459.90401731384077
198,1500,550,0.2,5500,1480,0.314,9.89,0.6,4.741631713358683,476.51719679790637
199,1500,550,0.2,5500,1480,0.314,9.89,0.651224,0.20650530255819843,471.5167385772419
200,1500,550,0.2,5500,1480,0.314,9.89,0.616176,2.2715583260928582,467.440577457237
201,1500,550,0.2,5500,1480,0.314,9.89,0.61348,2.0489315387943705,465.3490709543928
202,1500,550,0.2,5500,1480,0.314,9.89,0.618872,4.891641314831258,469.1424452979133
203,1500,550,0.2,5500,1480,0.314,9.89,0.616176,0.20650530255819843,465.1813540932963
204,1500,550,0.2,5500,1480,0.314,9.89,0.608088,281.80859256220464,508.51211524480925
205,1500,550,0.2,5500,1480,0.314,9.89,0.629656,4.891641314831258,472.1269330584668
206,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,0.20650530255819843,483.1817243450058
207,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,8.975415715447486,618.6790523222872
208,1500,550,0.2,5500,1480,0.314,9.89,0.610784,1.0325265113286157,502.04758493285203
209,1500,550,0.2,5500,1480,0.314,9.89,0.62696,22.012385915278287,469.4178230740972
210,1500,550,0.2,5500,1480,0.314,9.89,0.6,3.081458050122987,466.97686623207153
211,1500,550,0.2,5500,1480,0.314,9.89,0.618872,0.6195159073821203,465.3622444946157
212,1500,550,0.2,5500,1480,0.314,9.89,0.610784,1.222910328561577,507.30176297697983
213,1500,550,0.2,5500,1480,0.314,9.89,0.61348,5.306684728885331,507.4484159291059
214,1500,550,0.2,5500,1480,0.314,9.89,0.61348,5.098146616512031,468.5249297317502
215,1500,550,0.2,5500,1480,0.314,9.89,0.608088,13.862991410063595,495.1159138087937
216,1500,550,0.2,5500,1480,0.314,9.89,0.608088,5.549498626988762,509.7054416820272
217,1500,550,0.2,5500,1480,0.314,9.89,0.602696,6.319024134673557,466.5550223561512
218,1500,550,0.2,5500,1480,0.314,9.89,0.621568,0.20650530255819843,465.3632516255488
219,1500,550,0.2,5500,1480,0.314,9.89,0.648528,66.67403163420565,473.32086140260316
220,1500,550,0.2,5500,1480,0.314,9.89,0.608088,0.6195159073821203,465.1965600357376
221,1500,550,0.2,5500,1480,0.314,9.89,0.610784,1.222910328561577,465.7169936183622
222,1500,550,0.2,5500,1480,0.314,9.89,0.61348,1.222910328561577,467.7780533785606
