,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025
14033,SA_PV2012,Highlands,4594,71.04122647016676,99.0,99.0,0.46464540000000004,99.0,MG_Hybrid_HighLands2025,0.46464540000000004,242.89664,-7.2900057,8.333891,20.712286,21.75617,163948.47,507.4871,123266.91,0.0
14065,SA_PV2012,Highlands,3706,76.62003505403919,99.0,99.0,0.38477102,99.0,MG_Hybrid_HighLands2025,0.38477102,261.9711,-5.0173426,8.871574,21.850607,25.70484,145812.75,406.03137000000004,106368.49,0.0
14087,SA_PV2012,Highlands,3985,58.576988127802295,99.0,99.0,0.45109633,99.0,MG_Hybrid_HighLands2025,0.45109633,200.28023000000002,-5.696320500000001,7.1250176,17.862797,19.291494,135457.03,505.18317,101178.2,0.0
14090,SA_PV2012,Highlands,3973,75.20891471915216,99.0,99.0,0.38478383,99.0,MG_Hybrid_HighLands2025,0.38478383,257.14636,-5.181907700000001,8.735045,21.521406,25.074543,143419.31,407.1403,104694.64,0.0
14117,SA_Diesel2012,Lowlands,127,53.0889262104283,99.0,0.54525673,99.0,99.0,MG_Hybrid_LowLands2025,0.54525673,181.51604,-1.6844335,5.43536,4.372372599999999,8.1233,131237.44,669.4442,121514.85,0.0
14249,SA_PV2012,Highlands,3741,57.88064839047365,99.0,99.0,0.41567698,99.0,MG_Hybrid_HighLands2025,0.41567698,197.89938,-6.498412,7.058461,17.79668,18.356731,122902.945,457.0438,90448.69,0.0
14291,SA_PV2012,Highlands,2699,68.53120185988865,99.0,99.0,0.4271963,99.0,MG_Hybrid_HighLands2025,0.4271963,234.31462000000002,-6.591140299999999,8.089949,20.134094,21.632901999999998,145688.12,461.80062999999996,108206.65,0.0
14311,SA_PV2012,Lowlands,236,50.37807173575154,99.0,0.52349555,99.0,99.0,MG_Hybrid_LowLands2025,0.52349555,172.24736000000001,-1.0467327,5.236201,3.6566615,7.846129400000001,118292.516,637.9468,109884.66,0.0
14315,SA_Diesel2012,Lowlands,258,54.160860154525864,99.0,0.8530525,99.0,99.0,MG_Hybrid_LowLands2025,0.8530525,185.18108,-0.9505534,5.5143237,3.6965462999999996,8.260317,199294.5,980.4350599999999,181558.02,0.0
14321,SA_Diesel2012,Lowlands,199,57.67515951212636,99.0,0.46529135,99.0,99.0,MG_Hybrid_LowLands2025,0.46529135,197.1968,-1.2998148999999999,5.7726296999999995,4.3718010000000005,8.844615,118788.3,561.33826,110694.1,0.0
